winner_name,percent_servept_won,percent_breakpt_saved,winner_ioc,Sum_Sum_w_1stWon,Sum_Sum_w_2ndWon,Sum_Sum_w_svpt,Sum_Sum_w_bpSaved,Sum_Sum_w_bpFaced
Carmen Klaschka,0.4489795918367347,0.4444444444444444,GER,15,7,49,4,9
Teodora Mircic,0.4444444444444444,0.4444444444444444,SRB,18,10,63,4,9
Kai Lin Zhang,0.5016304347826087,0.4444444444444444,CHN,579,344,1840,108,243
Olga Puchkova,0.48973214285714284,0.44305772230889234,RUS,1520,674,4480,284,641
Neuza Silva,0.5141955835962145,0.4418604651162791,POR,123,40,317,19,43
Ximena Hermoso,0.4793814432989691,0.4406779661016949,MEX,135,51,388,26,59
Reka Luca Jani,0.5165562913907285,0.4406779661016949,HUN,172,62,453,26,59
Pemra Ozgen,0.5102564102564102,0.44,TUR,142,57,390,22,50
Marcela Zacarias,0.40993788819875776,0.4375,MEX,51,15,161,14,32
Hanyu Guo,0.4959349593495935,0.4375,CHN,45,16,123,7,16
Martina Navratilova,0.5944444444444444,0.4375,USA,76,31,180,7,16
Paula Kania,0.5211459754433834,0.43617021276595747,POL,264,118,733,41,94
Nika Ozegovic,0.47607655502392343,0.43548387096774194,CRO,137,62,418,27,62
Michaela Pastikova,0.5074906367041199,0.43478260869565216,CZE,181,90,534,30,69
Ekaterina Afinogenova,0.49295774647887325,0.43478260869565216,RUS,61,9,142,10,23
Aleksandrina Naydenova,0.3925233644859813,0.43478260869565216,BUL,24,18,107,10,23
Amber Liu,0.5145348837209303,0.43478260869565216,USA,120,57,344,20,46
Miyu Kato,0.5093984962406015,0.4321608040201005,JPN,580,233,1596,86,199
Lesley Kerkhove,0.5305039787798409,0.4318181818181818,NED,280,120,754,38,88
Yuliana Lizarazo,0.4734042553191489,0.42857142857142855,COL,61,28,188,12,28
Lina Stanciute,0.5531914893617021,0.42857142857142855,LTU,50,28,141,6,14
Maria Sanchez,0.5623869801084991,0.42857142857142855,USA,219,92,553,27,63
Janet Lee,0.49295774647887325,0.42857142857142855,TPE,26,9,71,3,7
Cristina Dinu,0.47619047619047616,0.42857142857142855,ROU,14,6,42,3,7
Nikola Hofmanova,0.4748201438848921,0.42857142857142855,AUT,48,18,139,9,21
Margit Ruutel,0.5294117647058824,0.42857142857142855,EST,28,8,68,3,7
Vanessa Henke,0.5245901639344263,0.42857142857142855,GER,23,9,61,3,7
Victoria Kan,0.4838709677419355,0.42857142857142855,RUS,20,10,62,3,7
Chun Mei Ji,0.48936170212765956,0.42857142857142855,CHN,18,5,47,3,7
Tiffany Welford,0.582089552238806,0.42857142857142855,AUS,28,11,67,3,7
Jasmin Woehr,0.6111111111111112,0.42857142857142855,GER,20,24,72,3,7
Celine Beigbeder,0.5272727272727272,0.42857142857142855,FRA,19,10,55,3,7
Diana Marcinkevica,0.5272727272727272,0.42857142857142855,LAT,22,7,55,3,7
Bianca Andreescu,0.5745007680491552,0.42857142857142855,CAN,240,134,651,27,63
Lenka Jurikova,0.40229885057471265,0.42424242424242425,SVK,46,24,174,14,33
Cornelia Lister,0.4791666666666667,0.4230769230769231,SWE,63,29,192,11,26
Nastja Kolar,0.5476190476190477,0.42105263157894735,SLO,87,28,210,8,19
Anna Blinkova,0.5192135835567471,0.4206896551724138,RUS,381,200,1119,61,145
Viktoriya Tomova,0.5336976320582878,0.42028985507246375,BUL,233,60,549,29,69
Nadiya Kichenok,0.5233022636484687,0.4186046511627907,UKR,287,106,751,36,86
Lenka Wienerova,0.47202797202797203,0.4177215189873418,SVK,185,85,572,33,79
Ekaterina Shulaeva,0.5050505050505051,0.4166666666666667,CAN,32,18,99,5,12
Sanja Ancic,0.423728813559322,0.4166666666666667,CRO,16,9,59,5,12
Cindy Burger,0.5153061224489796,0.4166666666666667,NED,186,117,588,30,72
Asa Svensson,0.5294117647058824,0.4166666666666667,SWE,28,17,85,5,12
Ashley Weinhold,0.38235294117647056,0.4166666666666667,USA,47,18,170,15,36
Rita Atik,0.34615384615384615,0.4166666666666667,MAR,13,5,52,5,12
