tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round
1979-W-WT-GBR-03A-1979,Brighton,Carpet,32,W,19791120,031,200293,1,,Martina Navratilova,L,173,USA,,,,200259,2,,Chris Evert,R,,USA,,,,6-3 6-3,3,F
1979-W-WT-USA-02A-1979,Oakland,Carpet,32,W,19790108,031,200293,1,,Martina Navratilova,L,173,USA,,,,200259,2,,Chris Evert,R,,USA,,,,7-5 7-5,3,F
1980-W-WT-USA-20A-1980,Mahwah,Hard,56,W,19800818,054,200348,5,,Hana Mandlikova,R,,AUS,,,,200293,2,,Martina Navratilova,L,173,USA,,,,6-4 3-6 6-3,3,SF
2009-W-WT-QAT-01A-2009,WTA Tour Championships,Hard,4,W,20091026,9,200033,2,,Serena Williams,R,175,USA,28.0821355236,2,7576,200748,7,,Venus Williams,R,185,USA,29.3579739904,7,4397,5-7 6-4 7-6(4),3,RR
2010-W-PM-USA-02A-2010,Miami,Hard,96,PM,20100322,086,200079,14,,Kim Clijsters,R,,BEL,26.7871321013,16,2860,201458,4,,Victoria Azarenka,R,180,BLR,20.6406570842,7,4930,6-4 6-0,3,R16
2010-W-PR-ITA-01A-2010,Rome Italian Open,Clay,56,P,20100503,003,201520,,,Petra Kvitova,L,183,CZE,20.1533196441,62,1056,201329,15,,Vera Zvonareva,R,172,RUS,25.6509240246,20,2485,6-4 6-0,3,R64
2010-W-SL-GBR-01A-2010,Wimbledon,Grass,128,G,20100621,117,200079,8,,Kim Clijsters,R,,BEL,27.0362765229,8,4010,200003,17,,Justine Henin,R,167,BEL,28.0547570157,16,3135,2-6 6-2 6-3,3,R16
2010-W-PR-USA-02A-2010,Stanford,Hard,30,P,20100726,029,201458,8,WC,Victoria Azarenka,R,180,BLR,20.9856262834,18,3090,201345,5,,Maria Sharapova,R,,RUS,23.2689938398,15,3260,6-4 6-1,3,F
2010-W-SL-USA-01A-2010,US Open,Hard,128,G,20100830,127,200079,2,,Kim Clijsters,R,,BEL,27.227926078,3,5325,201329,7,,Vera Zvonareva,R,172,RUS,25.9767282683,8,4430,6-2 6-1,3,F
2010-W-PR-JPN-01A-2010,Tokyo,Hard,56,P,20100927,053,201496,1,,Caroline Wozniacki,R,177,DEN,20.2135523614,2,5910,201458,8,,Victoria Azarenka,R,180,BLR,21.158110883,11,3715,6-2 6-7(3) 6-4,3,SF
2010-W-PM-CHN-01A-2010,Beijing,Hard,60,PM,20101004,014,201493,,,Angelique Kerber,L,173,GER,22.7104722793,58,1018,201474,6,,Agnieszka Radwanska,R,170,POL,21.5797399042,11,3870,5-7 7-6(3) 7-5,3,R64
